session_id,user_id,session_start,session_duration,device_type,location,will_purchase
session_000000,user_00062,2025-10-08 08:50:54,82.73859536417204,mobile,LangloisVille,0
session_000001,user_00871,2025-10-08 08:49:11,312.3252728786446,mobile,Samson-sur-Leduc,0
session_000002,user_00402,2025-10-08 08:49:38,238.0477177211809,mobile,Masse,0
session_000003,user_00961,2025-10-08 08:49:36,659.8595685329617,mobile,Bailly-sur-Hernandez,0
session_000004,user_00872,2025-10-08 08:50:21,153.06698281111198,mobile,Ferreira,0
session_000005,user_00842,2025-10-08 08:49:53,168.1350376047917,mobile,Faivreboeuf,0
session_000006,user_00250,2025-10-08 08:49:00,197.28048423011413,tablet,Jacquot,0
session_000007,user_00320,2025-10-08 08:49:08,865.6566239161765,mobile,Grenier,0
session_000008,user_00842,2025-10-08 08:51:21,83.69758712447636,mobile,Faivreboeuf,0
session_000009,user_00449,2025-10-08 08:48:46,164.98141488048313,mobile,Lebreton-la-Forêt,0
session_000010,user_00232,2025-10-08 08:48:48,106.230889786725,desktop,Martin,0
session_000011,user_00532,2025-10-08 08:49:28,324.55049777633695,desktop,ChevallierVille,0
session_000012,user_00445,2025-10-08 08:50:20,123.5463435974482,mobile,Garnier,0
session_000013,user_00815,2025-10-08 08:50:05,21.943610681217912,desktop,Berthelotnec,0
session_000014,user_00626,2025-10-08 08:50:28,197.23055515902988,desktop,Saint Michelle-la-Forêt,0
session_000015,user_00462,2025-10-08 08:50:51,178.5479623551296,mobile,Pelletier-les-Bains,0
session_000016,user_00942,2025-10-08 08:50:54,829.0880521965931,mobile,Aubry,0
session_000017,user_00244,2025-10-08 08:49:17,152.7170421498231,mobile,Collin-la-Forêt,0
session_000018,user_00169,2025-10-08 08:49:39,165.82645180376886,mobile,Sainte Sabine,0
session_000019,user_00505,2025-10-08 08:48:58,513.2270288964763,desktop,Sainte EugèneVille,0
session_000020,user_00064,2025-10-08 08:49:12,91.62858618389927,mobile,Rocher-les-Bains,0
session_000021,user_00410,2025-10-08 08:49:33,423.9198509002498,mobile,Kleindan,0
session_000022,user_00254,2025-10-08 08:50:46,272.4404773164753,mobile,Lamynec,0
session_000023,user_00419,2025-10-08 08:49:25,859.2543466263288,mobile,Colin-sur-Hernandez,0
session_000024,user_00680,2025-10-08 08:50:40,334.2103449243001,mobile,Renard,0
session_000025,user_00774,2025-10-08 08:49:11,389.7760198223926,desktop,BouvierBourg,0
session_000026,user_00708,2025-10-08 08:50:28,735.1017453538608,desktop,Labbé-les-Bains,0
session_000027,user_00204,2025-10-08 08:51:34,318.79396742141546,mobile,Guibert,0
session_000028,user_00414,2025-10-08 08:51:09,87.71038578800881,desktop,Blot,0
session_000029,user_00698,2025-10-08 08:48:51,289.1695857446444,desktop,Sainte Jacquelineboeuf,0
session_000030,user_00189,2025-10-08 08:50:19,44.966746606428124,mobile,Saint Paul,0
session_000031,user_00670,2025-10-08 08:50:01,7.299659205375674,desktop,Diaz-la-Forêt,0
session_000032,user_00652,2025-10-08 08:51:36,958.0161282224769,mobile,Saint Genevièveboeuf,1
session_000033,user_00631,2025-10-08 08:51:11,134.34088793562455,desktop,Langloisnec,0
session_000034,user_00370,2025-10-08 08:49:56,150.6918667148858,desktop,Legrosdan,0
session_000035,user_00134,2025-10-08 08:48:52,552.8013424962412,mobile,Cousin,0
session_000036,user_00009,2025-10-08 08:49:50,416.35538425604244,mobile,Sainte Renée,0
session_000037,user_00068,2025-10-08 08:49:42,129.55920119911,mobile,Sainte Josette,0
session_000038,user_00056,2025-10-08 08:49:18,163.08058086579248,mobile,Hernandez-sur-Mer,0
session_000039,user_00378,2025-10-08 08:51:08,63.10387300431597,mobile,GodardBourg,0
session_000040,user_00766,2025-10-08 08:50:29,563.6062486879046,mobile,BazinBourg,0
session_000041,user_00617,2025-10-08 08:49:01,182.05510712946204,desktop,Petitboeuf,0
session_000042,user_00864,2025-10-08 08:50:37,941.1926760472136,mobile,Sainte Emmanuel-la-Forêt,0
session_000043,user_00188,2025-10-08 08:50:46,1279.7894577577702,mobile,Sainte Robertboeuf,0
