session_id,user_id,cart_items_count,cart_value,cart_created,cart_abandoned
session_000001,user_00871,2,55.003845484235136,2025-10-08 08:49:11,False
session_000004,user_00872,3,119.14912746995594,2025-10-08 08:50:21,False
session_000006,user_00250,4,62.747315945893746,2025-10-08 08:49:00,True
session_000009,user_00449,2,49.34021527102118,2025-10-08 08:48:46,True
session_000010,user_00232,4,70.1211679125132,2025-10-08 08:48:48,False
session_000014,user_00626,2,56.407287676704236,2025-10-08 08:50:28,True
session_000018,user_00169,4,52.08871597891356,2025-10-08 08:49:39,False
session_000019,user_00505,3,78.05332214593521,2025-10-08 08:48:58,True
session_000021,user_00410,4,101.8218426100554,2025-10-08 08:49:33,False
session_000022,user_00254,4,24.147019419476223,2025-10-08 08:50:46,True
session_000023,user_00419,4,63.40924692534875,2025-10-08 08:49:25,False
session_000025,user_00774,2,71.54149048691751,2025-10-08 08:49:11,False
session_000028,user_00414,1,87.62237880060503,2025-10-08 08:51:09,True
session_000029,user_00698,1,75.07771889870827,2025-10-08 08:48:51,True
session_000030,user_00189,1,38.3619021635171,2025-10-08 08:50:19,True
session_000033,user_00631,1,64.38935766032218,2025-10-08 08:51:11,False
session_000039,user_00378,4,74.4751532876991,2025-10-08 08:51:08,True
session_000040,user_00766,2,82.52072765827882,2025-10-08 08:50:29,True
session_000041,user_00617,3,46.26616262268524,2025-10-08 08:49:01,False
session_000045,user_00919,1,62.44618467548245,2025-10-08 08:50:24,True
session_000050,user_00511,4,68.5785141698456,2025-10-08 08:49:41,True
session_000051,user_00499,4,62.81303161777525,2025-10-08 08:48:41,True
session_000052,user_00250,2,112.37960275070688,2025-10-08 08:51:27,True
session_000054,user_00821,4,37.07322449451274,2025-10-08 08:50:15,False
session_000055,user_00268,1,95.5991047880321,2025-10-08 08:49:09,True
session_000058,user_00852,4,90.27801518800746,2025-10-08 08:51:20,True
session_000059,user_00948,3,89.57988394936872,2025-10-08 08:49:35,True
session_000061,user_00682,1,83.24111440498567,2025-10-08 08:49:51,True
session_000063,user_00542,4,88.75444164981124,2025-10-08 08:50:05,False
session_000064,user_00584,1,96.74218573242378,2025-10-08 08:49:19,True
session_000067,user_00445,1,73.01231524651436,2025-10-08 08:49:04,True
session_000069,user_00134,2,83.97504910898806,2025-10-08 08:51:13,True
session_000070,user_00319,4,83.28760508603489,2025-10-08 08:50:16,True
session_000072,user_00133,4,10.0,2025-10-08 08:50:14,False
session_000074,user_00327,3,104.88592265491474,2025-10-08 08:49:59,True
session_000075,user_00500,1,77.41813110424584,2025-10-08 08:50:00,True
session_000078,user_00251,4,95.80678905673517,2025-10-08 08:49:46,True
session_000080,user_00584,4,46.08330912226239,2025-10-08 08:51:36,True
session_000081,user_00778,4,65.25296114621281,2025-10-08 08:49:08,True
session_000083,user_00176,2,81.87224835058066,2025-10-08 08:49:27,False
session_000088,user_00657,2,80.1033419669594,2025-10-08 08:51:03,False
session_000089,user_00531,1,98.46999371318958,2025-10-08 08:49:11,True
session_000090,user_00333,2,67.27021779461695,2025-10-08 08:51:36,True
session_000092,user_00796,2,74.18899562009366,2025-10-08 08:51:36,True
session_000094,user_00196,2,73.27117657603917,2025-10-08 08:50:42,True
session_000096,user_00774,3,71.41710208766091,2025-10-08 08:51:37,True
session_000099,user_00009,1,103.25577935599061,2025-10-08 08:51:24,True
session_000101,user_00902,3,90.58186621950094,2025-10-08 08:50:05,True
session_000103,user_00346,2,80.00469506039016,2025-10-08 08:51:32,True
session_000106,user_00168,1,100.4627765726173,2025-10-08 08:51:06,True
session_000107,user_00280,3,83.86442732954559,2025-10-08 08:50:59,True
session_000109,user_00824,2,67.14036844314586,2025-10-08 08:51:07,True
session_000111,user_00535,4,47.593073063548495,2025-10-08 08:50:23,True
session_000114,user_00557,1,145.37588361301394,2025-10-08 08:50:48,True
session_000115,user_00931,3,66.41343731333374,2025-10-08 08:50:09,True
session_000118,user_00472,3,44.84114875181715,2025-10-08 08:50:51,True
session_000119,user_00102,2,96.6522489257376,2025-10-08 08:50:44,True
session_000121,user_00404,2,75.65784054457893,2025-10-08 08:51:24,False
session_000122,user_00322,3,105.89836986089038,2025-10-08 08:51:23,False
session_000123,user_00054,4,79.22867233087987,2025-10-08 08:51:16,False
session_000124,user_00497,1,79.39259964872859,2025-10-08 08:50:03,True
session_000129,user_00022,1,71.6738746963379,2025-10-08 08:50:52,True
session_000131,user_00388,4,54.65108019000283,2025-10-08 08:50:14,False
session_000132,user_00016,1,72.62407958415645,2025-10-08 08:50:30,False
session_000133,user_00470,1,65.73030805790313,2025-10-08 08:49:25,False
session_000134,user_00726,2,40.198713830962106,2025-10-08 08:48:57,True
session_000135,user_00043,2,58.9117101375723,2025-10-08 08:51:24,False
session_000139,user_00823,4,31.19604013932095,2025-10-08 08:50:08,True
session_000140,user_00612,1,81.5942822973887,2025-10-08 08:50:01,True
session_000141,user_00906,3,61.39231268976648,2025-10-08 08:49:45,True
session_000142,user_00882,1,86.23361886272622,2025-10-08 08:50:25,True
session_000143,user_00283,3,103.2121848049355,2025-10-08 08:49:29,False
session_000146,user_00147,4,94.90080849592584,2025-10-08 08:49:09,False
session_000147,user_00086,2,74.6973796248246,2025-10-08 08:50:48,True
session_000148,user_00701,4,89.37914765063675,2025-10-08 08:49:19,False
session_000150,user_00215,3,94.6025295328611,2025-10-08 08:49:41,False
session_000154,user_00668,2,79.28554145138494,2025-10-08 08:51:38,False
session_000156,user_00222,4,112.67097873573735,2025-10-08 08:50:33,True
session_000157,user_00364,1,100.13127159009971,2025-10-08 08:50:00,False
session_000158,user_00225,4,109.52285868184799,2025-10-08 08:50:51,True
session_000159,user_00332,4,106.13565649432874,2025-10-08 08:50:42,False
session_000160,user_00385,4,57.328993842802554,2025-10-08 08:51:28,True
session_000170,user_00803,2,64.26396106547656,2025-10-08 08:50:22,True
session_000172,user_00354,2,67.79091716806478,2025-10-08 08:51:03,False
session_000173,user_00863,3,75.06797466016009,2025-10-08 08:50:56,False
session_000177,user_00208,4,23.412988510712985,2025-10-08 08:49:49,True
session_000179,user_00593,4,87.05034119883081,2025-10-08 08:50:54,False
session_000182,user_00790,4,88.91355195577422,2025-10-08 08:50:54,True
session_000191,user_00586,2,80.54059939909723,2025-10-08 08:51:29,False
session_000193,user_00906,2,117.0296807470755,2025-10-08 08:50:17,True
session_000195,user_00394,4,79.41880669550757,2025-10-08 08:50:51,True
session_000196,user_00387,3,119.49699644113099,2025-10-08 08:49:04,True
session_000198,user_00353,3,79.91198468992685,2025-10-08 08:49:13,True
session_000199,user_00040,4,104.1050557887961,2025-10-08 08:49:12,False
session_000201,user_00279,3,83.80636946538311,2025-10-08 08:50:16,False
session_000204,user_00647,3,78.49105226279349,2025-10-08 08:50:33,True
session_000205,user_00206,4,60.54937148960836,2025-10-08 08:51:02,True
session_000206,user_00381,4,101.22723969434348,2025-10-08 08:49:00,True
session_000210,user_00958,1,68.6223485086272,2025-10-08 08:50:52,True
session_000211,user_00393,2,70.72208712908858,2025-10-08 08:50:14,True
session_000213,user_00848,4,64.2495190433893,2025-10-08 08:50:50,False
session_000218,user_00073,2,84.00523788062536,2025-10-08 08:49:47,False
session_000219,user_00151,2,81.61450316974663,2025-10-08 08:49:22,False
